code,lat,lng,population,x,y
01001,42.0702,-72.6227,16984,2188796.7238831255,4863385.265678798
01002,42.3671,-72.4646,27558,2193600.7221995573,4899778.862132688
01003,42.3919,-72.5248,13253,2187928.136954806,4901288.881864481
01005,42.4097,-72.1084,4900,2221825.767398635,4912033.749943781
01007,42.2751,-72.411,15423,2200626.747702087,4890642.097098612
01008,42.1829,-72.9361,1317,2159671.1088902415,4869524.156992535
01009,42.2061,-72.3405,980,2208415.5718650892,4884426.1927112155
01010,42.1165,-72.1885,3711,2223568.7283131285,4877638.822514521
01011,42.2794,-72.9888,1201,2152666.0031095208,4879213.082615535
01012,42.3923,-72.8256,519,2163062.5552888215,4895125.036690081
01013,42.1487,-72.6079,23656,2187843.670325703,4872447.195661769
01020,42.1764,-72.5761,29781,2189710.504227764,4876195.531519645
01022,42.1934,-72.5544,2158,2191035.8305881745,4878541.797284691
01026,42.4633,-72.9202,1011,2153294.1813119133,4901106.624063493
01027,42.2668,-72.669,17896,2179493.707580867,4884353.500163184
01028,42.0672,-72.5056,16417,2198612.884129737,4865481.077166863
01029,42.1909,-73.0517,714,2149866.389402766,4868071.659648788
01030,42.0718,-72.6751,11708,2184397.4798140945,4862481.092092832
01031,42.3322,-72.1986,1406,2216587.067880474,4901479.650904578
01032,42.4404,-72.7995,483,2163888.1840930777,4901021.022921576
01033,42.2557,-72.52,6092,2192144.3556193616,4886204.090185491
01034,42.1127,-72.952,1977,2160269.964714069,4861372.233242542
01035,42.3606,-72.5715,5325,2184945.4599083383,4896829.258081688
01036,42.0648,-72.4318,4966,2204814.29894094,4866752.940691543
01037,42.3479,-72.2253,706,2213930.9548924854,4902665.225914705
01038,42.3844,-72.6167,2522,2180543.9440949056,4898545.398120958
01039,42.3818,-72.7032,1511,2173467.894816293,4896468.790772667
01040,42.202,-72.6262,38238,2184842.405789056,4878012.445641502
01050,42.2653,-72.8733,2467,2162616.1097246595,4879991.882587828
01053,42.3543,-72.7034,2031,2174215.5997950486,4893399.136809421
01054,42.4682,-72.4993,1889,2187889.217407059,4910324.47842297
01056,42.1728,-72.471,21002,2198529.860970512,4877980.481151169
01057,42.101,-72.3196,8152,2213118.8524522027,4873143.360368542
01060,42.3223,-72.6313,14461,2181069.447490343,4891320.3963445
01062,42.3219,-72.6928,10910,2175992.510891609,4890005.653855539
01063,42.3179,-72.6402,2106,2180455.717710741,4890645.786248212
01066,42.4112,-72.6223,215,2179332.74504999,4901416.830204572
01068,42.348,-72.0513,1904,2228318.2374913944,4906371.615607052
01069,42.1762,-72.3288,8428,2210230.8311111387,4881337.49680335
01070,42.5144,-72.9183,577,2152044.3993366254,4906840.020083698
01071,42.1471,-72.8403,1486,2168600.5705090053,4867486.028236233
01072,42.482,-72.4213,1366,2193935.4625002197,4913491.185779567
01073,42.2247,-72.7194,6224,2176486.3542553186,4878620.23688549
01074,42.3854,-72.0954,584,2223597.541366997,4909601.44451201
01075,42.2375,-72.5811,18168,2187591.256400842,4882905.333401143
01077,42.0511,-72.7706,9237,2177031.0687075923,4858206.862376892
01079,42.1929,-72.3296,701,2209692.478005629,4883183.157581405
01080,42.1819,-72.3624,2400,2207282.678206823,4881267.538073154
01081,42.0627,-72.2046,1684,2223759.786954415,4871296.557626646
01082,42.2618,-72.2583,10565,2213649.479693586,4892368.232852839
01083,42.204,-72.1994,2549,2220174.4272795953,4887167.351406143
01084,42.3903,-72.8709,185,2159374.7491749213,4893975.822373212
01085,42.1251,-72.7495,41529,2176743.6783239273,4866893.951292301
01088,42.3906,-72.6469,598,2177875.3344279025,4898611.746223822
01089,42.1151,-72.6411,28835,2186021.4200069495,4868012.863981856
01092,42.2029,-72.229,1343,2217751.335542747,4886418.662418113
01093,42.4427,-72.6525,290,2175959.5568989143,4904303.263180834
01094,42.3582,-72.1408,60,2220624.355087188,4905603.859552126
01095,42.1245,-72.4464,14694,2201926.4714128748,4873107.060646354
01096,42.4085,-72.778,2509,2166546.89167425,4897906.532675756
01097,42.164,-72.8295,130,2169032.101205753,4869591.642671816
01098,42.3843,-72.9314,1147,2154540.5632367404,4892073.490496653
01103,42.1029,-72.5887,2545,2190712.5115578356,4867736.803303068
01104,42.1288,-72.5778,23598,2190896.364788004,4870851.5853117
01105,42.0999,-72.5783,12051,2191659.9077644013,4867617.8281289255
01106,42.0507,-72.5676,16165,2193919.1305575427,4862351.785926439
01107,42.1179,-72.6065,11252,2188816.8243396915,4869041.044149489
01108,42.0853,-72.5584,27671,2193719.925300073,4866402.277805173
01109,42.1145,-72.5543,30968,2193246.3329567686,4869744.37723092
01118,42.0929,-72.5274,14296,2196083.493074503,4867894.169225048
01119,42.1247,-72.5121,14393,2196465.6895105243,4871759.430866784
01128,42.0944,-72.4889,2647,2199240.0449594925,4868862.990879324
01129,42.1223,-72.4876,7024,2198567.1433879016,4872002.041341001
01144,42.1018,-72.5915,0,2190510.552452908,4867556.074389186
01151,42.1532,-72.505,9150,2196257.837346675,4875085.90660818
01201,42.4531,-73.2471,45494,2126595.528207233,4893370.155962462
01220,42.6223,-73.1172,8166,2132705.116708768,4914832.087500506
01222,42.0596,-73.3202,835,2131116.0321580414,4848041.354004531
01223,42.3594,-73.1203,2430,2139607.5176400067,4885472.603165554
01224,42.5126,-73.1929,217,2129455.3425268177,4901086.798766
01225,42.5611,-73.158,3258,2131013.7938390654,4907192.098004878
01226,42.475,-73.1603,6324,2133164.37492729,4897551.6326884935
01229,42.2793,-73.3435,189,2123303.8511774987,4872074.679455366
01230,42.1959,-73.3607,8907,2124110.9347351436,4862434.541375164
01235,42.4298,-73.0724,2733,2141648.8928883714,4894285.662608566
01236,42.2653,-73.3745,1513,2121111.977822396,4869897.650900754
01237,42.5173,-73.2282,2365,2126417.954579089,4900902.764431353
01238,42.299,-73.2317,5722,2132028.0722804656,4876502.326060291
01240,42.3642,-73.2713,4692,2126995.2843573093,4882978.130949066
01242,42.3386,-73.2509,449,2129371.8786372454,4880532.4276213385
01243,42.3561,-73.0104,175,2148783.186334228,4887325.489840235
01244,42.1228,-73.254,287,2134921.684062546,4856410.513715917
01245,42.1867,-73.2065,933,2137143.5889405757,4864486.865188683
01247,42.6955,-73.08,15147,2133762.863940124,4923737.188613168
01253,42.1931,-73.0918,808,2146481.5696129436,4867507.122268161
01254,42.3784,-73.3645,946,2118910.8019173006,4882703.51807919
01255,42.1094,-73.1163,959,2146716.0809306502,4857679.578789605
01256,42.577,-73.0233,645,2141673.1810393417,4911682.35548934
01257,42.1001,-73.3611,2140,2126636.4238070324,4851744.2531543095
01258,42.1012,-73.4566,160,2118676.0751682343,4849973.986635538
01259,42.078,-73.2609,643,2135551.043702962,4851276.5034214975
01260,42.2779,-73.2773,233,2128821.8879836993,4873238.277647669
01262,42.301,-73.3223,1758,2124476.6455274024,4874915.821345557
01264,42.22,-73.1979,219,2136958.4453415032,4868372.230129597
01266,42.3348,-73.3825,1208,2118590.6333800876,4877486.185715843
01267,42.7089,-73.2036,7876,2123242.4494330855,4922741.915751159
01270,42.515,-73.0412,755,2141896.045634486,4904411.441697495
01301,42.6013,-72.6236,18042,2173907.245596315,4922575.308451901
01330,42.5232,-72.811,1500,2160646.669143713,4910013.01783013
01331,42.5959,-72.2267,13656,2206733.2736718846,4930277.259306098
01337,42.6952,-72.5772,2562,2175086.9061535485,4933998.499028283
01338,42.5736,-72.8213,127,2158401.6238314807,4915418.102480454
01339,42.608,-72.8901,1487,2151785.7214311566,4917844.466396185
01340,42.679,-72.7265,1803,2163270.5308142533,4929107.708662829
01341,42.5138,-72.7025,1539,2169852.264041773,4911195.344355977
01342,42.5406,-72.6072,1538,2176958.668254438,4916151.23378881
01343,42.6427,-72.9862,165,2142922.758423118,4919754.557456018
01344,42.6076,-72.4292,1665,2189731.029486211,4927322.467262503
01346,42.6853,-72.8391,352,2153840.499583506,4927498.393215037
01347,42.5566,-72.5181,204,2183850.6264040247,4919784.570287503
01349,42.582,-72.4926,827,2185235.0609103246,4923146.108438351
01350,42.7215,-72.9762,118,2141575.9346454805,4928735.752357664
01351,42.5429,-72.5328,2293,2183025.0119229825,4917952.023263085
01354,42.6404,-72.4995,1546,2183019.315925003,4929509.267023024
01355,42.5146,-72.3062,879,2202503.4396091835,4919540.163541338
01360,42.6887,-72.451,2871,2185641.4169832338,4935902.308004781
01364,42.6129,-72.2924,7665,2200839.5712171895,4930784.846834698
01366,42.4898,-72.1893,1187,2212851.716507228,4919244.820162977
01367,42.6953,-72.9258,506,2146438.9000985483,4926842.384440026
01368,42.6722,-72.1964,1283,2207039.510830162,4939419.662843028
01370,42.6022,-72.7391,3932,2164374.916326858,4920292.067304086
01373,42.4756,-72.6153,4526,2178110.4473261503,4908739.6547990395
